tier,target,seed,ood_family,cal_size,alpha,coverage,mean_width
tier1,ef,42,sulfide,5,0.1,0.633520365752286,0.6095001715229105
tier1,ef,42,sulfide,5,0.2,0.633520365752286,0.6095001715229105
tier1,ef,42,sulfide,5,0.3,0.633520365752286,0.6095001715229105
tier1,ef,42,sulfide,10,0.1,0.9566483002391101,1.416540332204386
tier1,ef,42,sulfide,10,0.2,0.9566483002391101,1.416540332204386
tier1,ef,42,sulfide,10,0.3,0.9021727830335794,1.1158721671496483
tier1,ef,42,sulfide,25,0.1,0.9565805914202415,1.416540332204386
tier1,ef,42,sulfide,25,0.2,0.8665139525197835,0.9889519236267802
tier1,ef,42,sulfide,25,0.3,0.8289254477301125,0.8946191123373924
tier1,ef,42,sulfide,50,0.1,0.9019730660820545,1.1158721671496483
tier1,ef,42,sulfide,50,0.2,0.8272262240317361,0.8916567647359385
tier1,ef,42,sulfide,50,0.3,0.6866061175488046,0.6760156897925218
tier1,ef,42,sulfide,100,0.1,0.9010389337810893,1.1149938711097684
tier1,ef,42,sulfide,100,0.2,0.8289432259418616,0.8946191123373926
tier1,ef,42,sulfide,100,0.3,0.725364676251443,0.7223361568595639
tier1,ef,42,nitride,5,0.1,0.5594259231574227,1.1352170300215414
tier1,ef,42,nitride,5,0.2,0.5594259231574227,1.1352170300215414
tier1,ef,42,nitride,5,0.3,0.5594259231574227,1.1352170300215414
tier1,ef,42,nitride,10,0.1,0.9376122082585279,2.4693918585306025
tier1,ef,42,nitride,10,0.2,0.9376122082585279,2.4693918585306025
tier1,ef,42,nitride,10,0.3,0.7179832435667265,1.519212738324886
tier1,ef,42,nitride,25,0.1,0.9998500524816314,10.970162290314075
tier1,ef,42,nitride,25,0.2,0.9379217273954116,2.469391858530603
tier1,ef,42,nitride,25,0.3,0.8547008547008547,1.961492112339552
tier1,ef,42,nitride,50,0.1,0.9595123419626731,2.7432043120220486
tier1,ef,42,nitride,50,0.2,0.8547561709813365,1.9616771807426263
tier1,ef,42,nitride,50,0.3,0.825105358217941,1.8506781073579137
tier1,ef,42,nitride,100,0.1,0.937973915680922,2.469391858530603
tier1,ef,42,nitride,100,0.2,0.8551713679102214,1.9616771807426263
tier1,ef,42,nitride,100,0.3,0.8092205034880194,1.7988850059308388
tier1,ef,42,halide,5,0.1,0.9330511037193832,3.466699623280699
tier1,ef,42,halide,5,0.2,0.9330511037193832,3.466699623280699
tier1,ef,42,halide,5,0.3,0.9330511037193832,3.466699623280699
tier1,ef,42,halide,10,0.1,0.9330308529945553,3.4666996232806992
tier1,ef,42,halide,10,0.2,0.9330308529945553,3.4666996232806992
tier1,ef,42,halide,10,0.3,0.8434966727162735,2.97767268996891
